"","Species","human","mouse","pair","m2h","reduced_pct","sample_count"
"2","Bacteroides uniformis","9.6900616753845","13.3235653235653","ERR661365.mseq-ERR661367.mseq",3.6335036481808,0.459402439236283,564
"3","Coprococcus comes","6.22374892653603","0.129426129426129","ERR661365.mseq-ERR661367.mseq",-6.0943227971099,-5.58758304853503,6
"4","Alistipes onderdonkii","4.8262940120228","2.32234432234432","ERR661365.mseq-ERR661367.mseq",-2.50394968967848,-1.05533391625683,163
"6","Bacteroides ovatus","3.74892653602935","2.7960927960928","ERR661365.mseq-ERR661367.mseq",-0.95283373993655,-0.423065313505274,373
"7","Oscillibacter valericigenes","3.71925989538606","0.146520146520147","ERR661365.mseq-ERR661367.mseq",-3.57273974886591,-4.66584461051476,130
"8","Alistipes putredinis","3.65211960340386","5.31379731379731","ERR661365.mseq-ERR661367.mseq",1.66167771039345,0.541009186638742,410
"10","Parabacteroides johnsonii","2.89483956593021","10.3150183150183","ERR661365.mseq-ERR661367.mseq",7.42017874908809,1.83319108247375,72
"11","[Clostridium] leptum","2.69185728784448","0.158730158730159","ERR661365.mseq-ERR661367.mseq",-2.53312712911432,-4.08395375431981,276
"14","Bacteroides thetaiotaomicron","1.89866500117105","22.7594627594628","ERR661365.mseq-ERR661367.mseq",20.8607977582917,3.58340921783889,494
"16","Bacteroides dorei","1.31001639472246","2.67887667887668","ERR661365.mseq-ERR661367.mseq",1.36886028415422,1.0320433017042,283
"23","Algoriphagus marincola","0.943086892029042","0.285714285714286","ERR661365.mseq-ERR661367.mseq",-0.657372606314756,-1.72281752800084,22
"26","Bacteroides cellulosilyticus","0.860332578655633","24.1855921855922","ERR661365.mseq-ERR661367.mseq",23.3252596069366,4.81310958238394,172
"32","Alistipes shahii","0.588648606448591","0.515262515262515","ERR661365.mseq-ERR661367.mseq",-0.073386091186076,-0.192099032820647,169
"33","Bacteroides xylanisolvens","0.579280193613865","1.21367521367521","ERR661365.mseq-ERR661367.mseq",0.634395020061345,1.06704915668231,384
"34","Bacteroides vulgatus","0.496525880240456","1.78021978021978","ERR661365.mseq-ERR661367.mseq",1.28369389997932,1.84211454078341,457
"35","[Desulfotomaculum] guttoideum","0.491841673823093","0.368742368742369","ERR661365.mseq-ERR661367.mseq",-0.123099305080724,-0.415580787321366,6
"36","Barnesiella viscericola","0.440315403232102","0.305250305250305","ERR661365.mseq-ERR661367.mseq",-0.135065097981797,-0.528544575995873,265
"43","Bacteroides nordii","0.246701537981107","3.61660561660562","ERR661365.mseq-ERR661367.mseq",3.36990407862451,3.87379766885258,55
"48","Peptoniphilus lacrimalis","0.215473495198688","0.263736263736264","ERR661365.mseq-ERR661367.mseq",0.048262768537576,0.291585537126137,3
"55","Bacteroides fragilis","0.149894605355609","0.791208791208791","ERR661365.mseq-ERR661367.mseq",0.641314185853182,2.4001099939043,137
"262","Bacteroides uniformis","9.6900616753845","14.3210475266731","ERR661365.mseq-ERR661368.mseq",4.6309858512886,0.563559270506327,564
"264","Alistipes onderdonkii","4.8262940120228","2.44907856450049","ERR661365.mseq-ERR661368.mseq",-2.37721544752231,-0.978676750317969,163
"266","Bacteroides ovatus","3.74892653602935","5.10184287099903","ERR661365.mseq-ERR661368.mseq",1.35291633496968,0.444540911962983,373
"268","Alistipes putredinis","3.65211960340386","9.44713870029098","ERR661365.mseq-ERR661368.mseq",5.79501909688712,1.37114342663101,410
"270","Parabacteroides johnsonii","2.89483956593021","5.91658583899127","ERR661365.mseq-ERR661368.mseq",3.02174627306106,1.03128151472581,72
"271","[Clostridium] leptum","2.69185728784448","0.210960232783705","ERR661365.mseq-ERR661368.mseq",-2.48089705506078,-3.67355895233927,276
"274","Bacteroides thetaiotaomicron","1.89866500117105","14.3501454898157","ERR661365.mseq-ERR661368.mseq",12.4514804886447,2.91800807865143,494
"276","Bacteroides dorei","1.31001639472246","4.29194956353055","ERR661365.mseq-ERR661368.mseq",2.98193316880809,1.71204825543163,283
"283","Algoriphagus marincola","0.943086892029042","1.22211445198836","ERR661365.mseq-ERR661368.mseq",0.279027559959318,0.373916795075932,22
"286","Bacteroides cellulosilyticus","0.860332578655633","20.7419980601358","ERR661365.mseq-ERR661368.mseq",19.8816654814802,4.59151659420627,172
"292","Alistipes shahii","0.588648606448591","0.904461687681862","ERR661365.mseq-ERR661368.mseq",0.315813081233271,0.619652717887668,169
"293","Bacteroides xylanisolvens","0.579280193613865","1.18331716779825","ERR661365.mseq-ERR661368.mseq",0.604036974184385,1.03050357184317,384
"294","Bacteroides vulgatus","0.496525880240456","1.18816682832202","ERR661365.mseq-ERR661368.mseq",0.691640948081564,1.25879659461931,457
"295","[Desulfotomaculum] guttoideum","0.491841673823093","1.25363724539282","ERR661365.mseq-ERR661368.mseq",0.761795571569727,1.34985406282875,6
"296","Barnesiella viscericola","0.440315403232102","0.535887487875849","ERR661365.mseq-ERR661368.mseq",0.0955720846437469,0.283392817893736,265
"302","Hespellia stercorisuis","0.2685611679288","0.152764306498545","ERR661365.mseq-ERR661368.mseq",-0.115796861430255,-0.813943220301087,11
"303","Bacteroides nordii","0.246701537981107","5.16731328806983","ERR661365.mseq-ERR661368.mseq",4.92061175008872,4.38857574050669,55
"308","Peptoniphilus lacrimalis","0.215473495198688","0.477691561590689","ERR661365.mseq-ERR661368.mseq",0.262218066392001,1.14856897357931,3
"315","Bacteroides fragilis","0.149894605355609","1.55431619786615","ERR661365.mseq-ERR661368.mseq",1.40442159251054,3.37425965679868,137
"513","Bacteroides uniformis","9.6900616753845","11.7309344062203","ERR661365.mseq-ERR661369.mseq",2.0408727308358,0.275740179930436,564
"515","Alistipes onderdonkii","4.8262940120228","1.4059038922291","ERR661365.mseq-ERR661369.mseq",-3.4203901197937,-1.77941783051371,163
"517","Bacteroides ovatus","3.74892653602935","5.1331314135889","ERR661365.mseq-ERR661369.mseq",1.38420487755955,0.453361640690391,373
"519","Alistipes putredinis","3.65211960340386","5.65978029926314","ERR661365.mseq-ERR661369.mseq",2.00766069585928,0.632012038794106,410
"521","Parabacteroides johnsonii","2.89483956593021","10.2142760273044","ERR661365.mseq-ERR661369.mseq",7.31943646137419,1.81903165125939,72
"522","[Clostridium] leptum","2.69185728784448","0.106233895393517","ERR661365.mseq-ERR661369.mseq",-2.58562339245096,-4.66328586919755,276
"525","Bacteroides thetaiotaomicron","1.89866500117105","30.0506306224854","ERR661365.mseq-ERR661369.mseq",28.1519656213143,3.98433798151536,494
"527","Bacteroides dorei","1.31001639472246","4.22675285927399","ERR661365.mseq-ERR661369.mseq",2.91673646455153,1.68996489254909,283
"534","Algoriphagus marincola","0.943086892029042","0.508566520500881","ERR661365.mseq-ERR661369.mseq",-0.434520371528161,-0.890954209894126,22
"537","Bacteroides cellulosilyticus","0.860332578655633","13.243072193843","ERR661365.mseq-ERR661369.mseq",12.3827396151874,3.94419956425071,172
"543","Alistipes shahii","0.588648606448591","1.05103747570182","ERR661365.mseq-ERR661369.mseq",0.462388869253229,0.836335530940644,169
"544","Bacteroides xylanisolvens","0.579280193613865","0.583156276841011","ERR661365.mseq-ERR661369.mseq",0.00387608322714605,0.00962121701636935,384
"545","Bacteroides vulgatus","0.496525880240456","0.635143076714434","ERR661365.mseq-ERR661369.mseq",0.138617196473978,0.355212703150487,457
"546","[Desulfotomaculum] guttoideum","0.491841673823093","1.12562723204195","ERR661365.mseq-ERR661369.mseq",0.633785558218857,1.19446325189472,6
"547","Barnesiella viscericola","0.440315403232102","0.264454590660458","ERR661365.mseq-ERR661369.mseq",-0.175860812571644,-0.735517294601473,265
"553","Hespellia stercorisuis","0.2685611679288","0.103973599746847","ERR661365.mseq-ERR661369.mseq",-0.164587568181953,-1.36903346043117,11
