"","Group.1","x"
"1","[Bacteroides] pectinophilus[genus]",0.237359760096522
"2","[Eubacterium] brachy[genus]",-0.493367927837679
"3","[Eubacterium] dolichum[genus]",2.00393587894271
"4","[Eubacterium] rectale[genus]",-1.06639754797252
"5","[Eubacterium] sulci[genus]",-0.476072390226525
"6","Acholeplasma",-1.23064833647974
"7","Acidaminococcus",-0.707425630823808
"8","Akkermansia",2.41682822668178
"9","Alistipes",0.365014827061273
"10","Anaerostipes",1.10281147375296
"11","Anaerotruncus",0.19288623888631
"12","Bacillus",0.132020158249166
"13","Bacteroides",1.8314585968083
"14","Barnesiella",-0.0832793068931827
"15","Bifidobacterium",-1.84517282805464
"16","Blautia",-0.464662419803032
"17","Butyricicoccus",-0.22862673005559
"18","Butyricimonas",2.86750404346851
"19","Butyrivibrio",0.0242027202150932
"20","Christensenella",-0.513467235539593
"21","Clavibacter",0.343785745313608
"22","Clostridioides",0.259504581678617
"23","Clostridium",-0.773467594686946
"24","Collinsella",-0.938182707232778
"25","Coprococcus",-0.656569012855954
"26","Desulfonispora",0.304512478471525
"27","Desulfovibrio",-0.677911191149327
"28","Dialister",0.853950103512928
"29","Dorea",-0.185885899044938
"30","Dysgonomonas",2.90330011777869
"31","Eggerthella",-0.0237399530739269
"32","Enterococcus",-0.173644005879686
"33","Erysipelatoclostridium",-0.149617935398237
"34","Ethanoligenens",-0.0857445350850033
"35","Eubacterium",-1.61070358295817
"36","Faecalibacterium",-2.89486944534589
"37","Fusobacterium",4.96277916893748
"38","Gardnerella",-1.25088395920993
"39","Gemmiger",-1.08619928475823
"40","Gordonibacter",-2.58592664600992
"41","Haemophilus",0.353764765298126
"42","Hespellia",2.23212567306744
"43","Holdemanella",-0.537595623269302
"44","Kandleria",1.06508746308484
"45","Lachnoclostridium",1.65131952503375
"46","Lactobacillus",1.12595091811641
"47","Lactococcus",0.588759068809235
"48","Megamonas",-1.35399611797349
"49","Methanobrevibacter",0.439240506216103
"50","Mitsuokella",-0.12755941488088
"51","Odoribacter",0.970476214157267
"52","Olsenella",-0.418709972186841
"53","Oscillibacter",-2.36378607442446
"54","Paenibacillus",-0.316762507088804
"55","Papillibacter",-0.0641001004813351
"56","Parabacteroides",0.423330716062506
"57","Paraclostridium",0.960786691327455
"58","Paraprevotella",1.14455389397058
"59","Parasutterella",2.54491073740022
"60","Peptoniphilus",-1.12347980762717
"61","Porphyromonas",-1.0908060858652
"62","Prevotella",-2.12374329932157
"63","Proteus",2.05897130337685
"64","Pseudobacteroides",-0.102292291091176
"65","Pseudobutyrivibrio",0.706324823818017
"66","Roseburia",-2.43258866396256
"67","Ruminiclostridium",-1.21224010472956
"68","Ruminococcus",-1.8555057774055
"69","Slackia",0.501039310637418
"70","Spiroplasma",2.16804265326751
"71","Sporobacter",0.152793911926748
"72","Sporosarcina",1.42085600161434
"73","Streptococcus",-1.86928953189747
"74","Sutterella",-0.61073521683709
"75","Tyzzerella",0.0670637130823891
"76","Veillonella",-2.11938314849674
