"","Group.1","x"
"1","[Bacteroides] pectinophilus",0.235460435255545
"2","[Clostridium] aldenense",0.891548561796181
"3","[Clostridium] bolteae",0.849494765113739
"4","[Clostridium] citroniae",-0.102172124085132
"5","[Clostridium] clariflavum",0.29544325420223
"6","[Clostridium] colinum",-0.00226209758397884
"7","[Clostridium] indolis",0.576832331576352
"8","[Clostridium] leptum",-0.924139609338329
"9","[Clostridium] methylpentosum",-0.768804412548214
"10","[Clostridium] neopropionicum",-0.0141934572856084
"11","[Clostridium] propionicum",-0.922165923295992
"12","[Clostridium] saccharolyticum",-0.197575266562309
"13","[Clostridium] spiroforme",-0.261461376925854
"14","[Clostridium] stercorarium",-0.237138074042475
"15","[Clostridium] symbiosum",2.03437336334628
"16","[Clostridium] viride",-0.508536298137917
"17","[Eubacterium] brachy",-0.495028342969042
"18","[Eubacterium] dolichum",2.00459339695234
"19","[Eubacterium] eligens",0.208412378733505
"20","[Eubacterium] hallii",0.241178084738631
"21","[Eubacterium] rectale",-1.0690095108702
"22","[Eubacterium] siraeum",-0.802019031438032
"23","[Eubacterium] sulci",-0.476941536342898
"24","[Ruminococcus] gnavus",0.670089567234747
"25","[Ruminococcus] torques",0.879655142214514
"26","Acholeplasma palmae",-1.18855964210479
"27","Acidaminococcus intestini",-0.72500627923666
"28","Akkermansia muciniphila",2.41352081676331
"29","Alistipes finegoldii",0.587724391352822
"30","Alistipes onderdonkii",-1.29796452783485
"31","Alistipes putredinis",0.51729554301207
"32","Alistipes shahii",-0.539359109526248
"33","Alistipes timonensis",0.365061213692766
"34","Anaerostipes caccae",1.10272007700893
"35","Anaerotruncus colihominis",0.190144132558071
"36","Bacillus gaemokensis",-0.0204176826201258
"37","Bacteroides caccae",2.30026755849737
"38","Bacteroides cellulosilyticus",3.49244194070415
"39","Bacteroides coprocola",-0.858215099050682
"40","Bacteroides coprophilus",1.49036141238514
"41","Bacteroides dorei",0.723858927554861
"42","Bacteroides fragilis",3.3142268105207
"43","Bacteroides luti",3.26607949012004
"44","Bacteroides massiliensis",-0.0852795664881554
"45","Bacteroides nordii",3.2863386538553
"46","Bacteroides ovatus",1.88459844476114
"47","Bacteroides salyersiae",4.06688507731575
"48","Bacteroides sp. CIP103040",0.783276951500749
"49","Bacteroides stercorirosoris",2.90732023155709
"50","Bacteroides stercoris",0.0192972198442483
"51","Bacteroides thetaiotaomicron",1.21015797451963
"52","Bacteroides uniformis",1.15743972186541
"53","Bacteroides vulgatus",0.122875611355166
"54","Bacteroides xylanisolvens",2.75399875178045
"55","Barnesiella viscericola",-0.0845202028129284
"56","Bifidobacterium angulatum",-0.0390523447071392
"57","Bifidobacterium biavatii",-0.209659973223939
"58","Bifidobacterium bifidum",-2.38862705133436
"59","Bifidobacterium breve",-0.527970243961454
"60","Bifidobacterium catenulatum",-2.28495343734363
"61","Bifidobacterium choerinum",-0.0142555660096022
"62","Bifidobacterium dentium",-1.26911850813004
"63","Bifidobacterium gallicum",-1.02843384892544
"64","Bifidobacterium indicum",-0.630022152960916
"65","Bifidobacterium longum",-0.288298556844363
"66","Bifidobacterium merycicum",-2.07116692575036
"67","Bifidobacterium pseudocatenulatum",-0.387401154132434
